"","Package","LibPath","Version","Priority","Built"
"170","rvest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.2",NA,"3.4.0"
"171","scales","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.0",NA,"3.4.1"
"172","selectr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4-1",NA,"3.4.4"
"173","sfsmisc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-2",NA,"3.4.4"
"174","shiny","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.4"
"175","shinyBS","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.61",NA,"3.4.0"
"176","shinydashboard","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7.0",NA,"3.4.4"
"177","slam","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-43",NA,"3.4.4"
"178","sourcetools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.7",NA,"3.4.4"
"179","sparkline","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0",NA,"3.4.0"
"180","spatial","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-11","recommended","3.4.4"
"181","splines","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"182","SQUAREM","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2017.10-1",NA,"3.4.2"
"183","stats","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"184","stats4","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"185","stringi","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.4",NA,"3.4.4"
"186","stringr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.1",NA,"3.4.4"
"187","styler","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.2",NA,"3.4.4"
"188","survival","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.41-3","recommended","3.4.4"
"189","tcltk","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"190","testthat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.0",NA,"3.4.3"
"191","tibble","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.2",NA,"3.4.3"
"192","tidyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8.1",NA,"3.4.4"
"193","tidyselect","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.4",NA,"3.4.3"
"194","tidyverse","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.1",NA,"3.4.2"
"195","timeDate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3043.102",NA,"3.4.3"
"196","tinytex","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6",NA,"3.4.4"
"197","tools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"198","tseries","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.10-45",NA,"3.4.4"
"199","TTR","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.23-3",NA,"3.4.3"
"200","urca","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-0",NA,"3.4.0"
"201","uroot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0-9",NA,"3.4.0"
"202","usethis","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.0",NA,"3.4.3"
"203","utf8","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.4",NA,"3.4.2"
"204","utils","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"205","viridis","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.1",NA,"3.4.4"
"206","viridisLite","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.0",NA,"3.4.3"
"207","whisker","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3-2",NA,"3.4.0"
"208","withr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.2",NA,"3.4.4"
"209","wordcloud","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.5",NA,"3.4.0"
"210","xfun","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3",NA,"3.4.4"
"211","xgboost","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.71.2",NA,"3.4.2"
"212","xlsx","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.1",NA,"3.4.4"
"213","xlsxjars","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.1",NA,"3.4.0"
"214","xml2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.3"
"215","xtable","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8-2",NA,"3.4.0"
"216","xts","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.11-0",NA,"3.4.4"
"217","yaml","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.19",NA,"3.4.4"
"218","zoo","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8-3",NA,"3.4.4"
